Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
S4922409,"11Mangos, LLC",Legal Name,Limited Liability Company,"12406 Willow Falls Dr, Herndon, VA, 20170 - 0000, USA",SABIHA   PIRACHA ,Active,
S6673497,12 Romans llc,Legal Name,Limited Liability Company,"12532 MISTY WATER DR, HERNDON, VA, 20170 - 0000, USA",DONALD GENE   HOLLENBECK ,Pending Inactive,
S5439163,123 designbuild llc,Legal Name,Limited Liability Company,"12913 alton square, 116, herndon, VA, 20170 - 0000, USA",MADHUBALA U   NAIK ,Inactive,
11101322,1231 Magnolia Ln LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
11299884,12407 Abbeyknollct LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
11686281,12509GlenbrookeWoodsDr LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S7852751,12516Cliffedge LLC,Legal Name,Limited Liability Company,"555 GROVE ST, 102, HERNDON, VA, 20170 - 0000, USA",Crescent Operative Inc.,Inactive,
S3220490,"1289 Vintage Place, L.L.C.",Legal Name,Limited Liability Company,"1242 RESTON AVE, HERNDON, VA, 20170 - 0000, USA",WILLIAM   HILDER ,Active,
S6675906,12901NPD LLC,Legal Name,Limited Liability Company,"657 MISSISSIPPI DRIVE, HERNDON, VA, 20170 - 0000, USA",DASARI S   RAO ,Active,
S3319755,"12945 CENTRE PARK CIRCLE 108, LLC",Legal Name,Limited Liability Company,"1413 BAYSHIRE LANE, HERNDON, VA, 20170 - 0000, USA",STEFAN   ROSU ,Inactive,
S6704375,13 Ferguson Ct LLC,Legal Name,Limited Liability Company,"12332 Streamvale Cir, Herndon, VA, 20170 - 0000, USA",CRESCENT COOP LLC,Inactive,
07523970,"13:13 Foundation, Inc.",Legal Name,Stock Corporation,,LISA MARIE   BARTON ,Inactive,
S8656672,130 Raleigh Rd LLC,Legal Name,Limited Liability Company,"101 Anthem Avenue, Herndon, VA, 20170 - 0000, USA",MEZHGAN   AZIZ ,Active,
11195063,1313Springtideplace LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Inactive,
S6248233,1318 Rock Chapel LLC,Legal Name,Limited Liability Company,"12332 Streamvale Cir, Herndon, VA, 20170 - 0000, USA",Crescent Operative Inc.,Inactive,
S7825039,1333 Maple View Pl SE LLC,Legal Name,Limited Liability Company,"5440 Midship Ct, Burke, VA, 22015 - 0000, USA","FIERRO & KORI, PLLC",Inactive,
11398169,13353 FeldmanPl LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Inactive,
S8070585,13407ParcherAvenue LLC,Legal Name,Limited Liability Company,"12332 Streamvale Cir, Herndon, VA, 20170 - 0000, USA",Crescent Operative Inc.,Inactive,
S7771852,1357 Garden Wall LLC,Legal Name,Limited Liability Company,"1605 Blacksmith Lane, Herndon, VA, 20170 - 0000, USA",TIMOTHY   STARINIERI ,Inactive,
S4472058,"14 Alden Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Active,
11686275,14530CreekBranchCt LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S2053082,"146511 WEST COMMERCE ROAD, LLC",Legal Name,Limited Liability Company,"481 CARLISLE DR, HERNDON, VA, 20170 - 0000, USA",PHILIP A   NICKELS ,Inactive,
11225092,149 BAKER LLC,Legal Name,Limited Liability Company,"1376 DOMINION RIDGE LN, Herndon, VA, 20170, USA",MARYAM  NASRI ,Inactive,
11361757,15 Catoctin LLC,Legal Name,Limited Liability Company,"520 Herndon Pkwy Ste H, Herndon, VA, 20170 - 6218, USA",Rajiv  Abrol ,Active,
11614615,1519 Springvale LLC,Legal Name,Limited Liability Company,"1356 Beverly Rd Ste 225, Mc Lean, VA, 22101 - 3640, USA",Brad Lee Martin ,Active,
11260067,"1529 Wrightson, LLC",Legal Name,Limited Liability Company,"1356 Beverly Rd Ste 225, Mc Lean, VA, 22101 - 3640, USA",Brad  L. Martin ,Active,
11274011,15540 Eagle Tavern Lane LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S1428269,"1558 Autumn Ridge Circle, L.L.C.",Legal Name,Limited Liability Company,"12109 HEATHER WAY, HERNDON, VA, 20170 - 0000, USA",LINDA L   MASLAR ,Inactive,
S3814029,"16 Alden Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Active,
11105798,"1611 Wrightson Drive, LLC",Legal Name,Limited Liability Company,"6841 Elm St Unit 601, Mc Lean, VA, 22101 - 8022, USA",Brad  L  Martin  ,Inactive,
S4216158,"16114 DAHLGREN ROAD, LLC",Legal Name,Limited Liability Company,"903 Barker Hill Road, Herndon, VA, 20170 - 3015, USA",PATRICK   SULLIVAN ,Inactive,
S5790334,1645 E Arlyn Cr. LLC,Legal Name,Limited Liability Company,"8195 Elizabeth Ave, LaPlata, MD, 20646 - 0000, USA",YUEN   POON ,Active,
S3813963,"17 Palmer Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",W LAIRD  DUNLOP IV ,Inactive,
S7049671,"1719 27th Street, LLC",Legal Name,Limited Liability Company,"12041 Heather Down Dr, Herndon, VA, 20170 - 0000, USA",LOUBNA   HANNA ,Active,
S6725115,1739 D ST NE LLC,Legal Name,Limited Liability Company,"560 HERNDON PARKWAY, SUITE 120, HERNDON, VA, 20170 - 0000, USA",MEHMET   OGDEN ,Inactive,
S4860369,18 Lake Creative LLC,Legal Name,Limited Liability Company,"1526 MOORINGS DR APT 12B, RESTON, VA, 20190 - 0000, USA",MARY MICHELLE   VIGEN ,Inactive,
S7007570,1823 J Julian H LLc,Legal Name,Limited Liability Company,"1020 elden st suite 103, herndon, VA, 20170 - 0000, USA",YUEN   POON ,Active,
S7038443,1839 J Julian E LLC,Legal Name,Limited Liability Company,"1020 elden st suite 103, herndon, VA, 20170 - 0000, USA",YUEN   POON ,Active,
11025824,1850 Marketing LLC,Legal Name,Limited Liability Company,"1304 Cassia St, Herndon, VA, 20170 - 2522, USA",Brittany Ann Ryan ,Active,
S1428277,"19151 Commonwealth Terrace, L.L.C.",Legal Name,Limited Liability Company,"12109 HEATHER WAY, HERNDON, VA, 20170 - 0000, USA",WARREN N   MASLAR ,Inactive,
01805555,1980 TYSON'S INC.,Legal Name,Stock Corporation,"1992 CHAIN BRIDGE RD, MCLEAN, VA, 22102 - 0000, USA",SYED Z   HUSSAIN ,Inactive,
08027385,"1BUILT4U, INC.",Legal Name,Stock Corporation,"345 RENEAU WAY, HERNDON, VA, 20170 - 0000, USA",SATISH   SNGH ,Inactive,
S6794939,"1CyberForce, LLC",Legal Name,Limited Liability Company,"950 Herndon Pkwy Ste 410, Herndon, VA, 20170 - 5537, USA","YAKSHNA SOLUTIONS, INC.",Active,
11223992,"1DTS, LLC",Legal Name,Limited Liability Company,"13873 Park Center Rd Ste 303, Herndon, VA, 20171 - 3287, USA",Rupinder  Yadav ,Active,
11404242,1G Solutions LLC,Legal Name,Limited Liability Company,"12402 STONE CHURCH CT, Herndon, VA, 20170, USA",PEDRO  ANTONIO MARTINEZ PARADA  ,Inactive,
11174651,1SK Consulting LLC,Legal Name,Limited Liability Company,"1543 Kingstream Cir, Herndon, VA, 20170, USA",Steven  Keifer ,Active,
11101297,20186 Hopi Dr LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S8072870,"202 Venture Fund II, LLC",Legal Name,Limited Liability Company,"1315 Pellow Circle Trail, Herndon, VA, 20170 - 0000, USA",JOLIE   DEUTSCHMAN ,Inactive,
S8071898,"202 Venture Holdings, LLC",Legal Name,Limited Liability Company,"1315 Pellow Circle Trail, Herndon, VA, 20170 - 0000, USA",JOLIE   DEUTSCHMAN ,Inactive,
S8050512,2030 LLC,Legal Name,Limited Liability Company,"459 Herndon Pkwy, Suite 200, Herndon, VA, 20170 - 0000, USA",RAVINDAR   PALLA ,Pending Inactive,
S8296917,21074Ethanct LLC,Legal Name,Limited Liability Company,"12332 STREAMVALE CIR, HERNDON, VA, 20170 - 2514, USA",Crescent Operative Inc.,Inactive,
11101300,2120 Monaghan Dr LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Inactive,
S7472113,2138 S Nelson St LLC,Legal Name,Limited Liability Company,"769 Grace Street, Herndon, VA, 20170 - 0000, USA",SAM   MEDVENE ,Inactive,
11528425,"2144 Rock Hill Loudoun, LLC",Legal Name,Limited Liability Company,"1291 Monroe St, Herndon, VA, 20170 - 3004, USA",STEVEN D MITCHELL ,Active,
S1079401,"2144 ROCK HILL ROAD, LLC",Legal Name,Limited Liability Company,"1291 MONROE ST, HERNDON, VA, 22309 - 0000, USA",STEVEN D   MITCHELL ,Active,
11788292,2161 LLC,Legal Name,Limited Liability Company,"2161 San Moritz Cir Apt 207, Herndon, VA, 20170 - 5957, USA",ELLE  LEE ,Active,
S5299229,21757 Marigold LLC,Legal Name,Limited Liability Company,"12332 STREAMVALE CIR, Herndon, VA, 20170 - 0000, USA",CRESCENT COOP LLC,Inactive,
11274010,21806 Stoningtonsq LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
11184346,21973AminCt LLC,Legal Name,Limited Liability Company,"555 GROVE ST, Herndon, VA, 20170, USA",Crescent Operative Inc.,Active,
S5596103,2203 Westcourt 305 LLC,Legal Name,Limited Liability Company,"350 Sugarland Meadow Dr, Herndon, VA, 20170 - 5341, USA","NOVAMARK PROPERTIES, LLC",Active,
S6900122,2208Castle Rock 12C LLC,Legal Name,Limited Liability Company,"555 Grove St, Suite: 102, Herndon, VA, 20170 - 0000, USA",Crescent Operative Inc.,Inactive,
11424613,"2220 Bryan Place, LLC",Legal Name,Limited Liability Company,"12041 Heather Down Dr, Herndon, VA, 20170 - 2739, USA",John  Hanna ,Active,
11686274,2239Christypl LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
11771387,22512PhillipsSt LLC,Legal Name,Limited Liability Company,"585 Grove St Ste 100, Herndon, VA, 20170 - 4791, USA",Crescent Operative Inc.,Active,
11129456,22934 Regent Ter LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Inactive,
S3765213,24 Hour Home Buyers LLC,Legal Name,Limited Liability Company,"123 Fortnightly Blvd, Herndon, VA, 20170 - 0000, USA",SCOTT   BELTON ,Inactive,
11536004,"248 Ticknor Brook Road, LLC",Legal Name,Limited Liability Company,"1291 Monroe St, Herndon, VA, 20170 - 3004, USA",STEVEN D MITCHELL ,Active,
08224016,24Seven Productions Corp.,Legal Name,Stock Corporation,"10560 MAIN STREET, SUITE PH14, FAIRFAX, VA, 22030 - 0000, USA",SARAH   BRYANT ,Inactive,
S8145031,"2623 13th Street, LLC",Legal Name,Limited Liability Company,"7211 Thrasher Rd, McLean, VA, 22101 - 0000, USA",Brad  L  Martin  ,Inactive,
S0811275,"2699 Lee Road, LLC",Legal Name,Limited Liability Company,"701 E BYRD ST 15TH FL, RICHMOND, VA, 23219 - 0000, USA",PHILIP   NICKLES ,Inactive,
S4047132,"27 Dulany Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Active,
11742536,29 Nova LLC,Legal Name,Limited Liability Company,"11701 Sugarland Rd, Herndon, VA, 20170 - 2303, USA",Savannah  George ,Active,
S2148080,"2As, LLC",Legal Name,Limited Liability Company,"2175 MONAGHAN DR, HERNDON, VA, 20170 - 0000, USA",ANNE   ALSTON ,Inactive,
S7368725,2MJ LLC,Legal Name,Limited Liability Company,"608 WINONA CT, Silver Spring, MD, 20902 - 0000, USA",JOHAN E   CORTES ,Inactive,
S4768083,2nd Acts LLc,Legal Name,Limited Liability Company,"12532 Misty Water Dr, Herndon, VA, 20170 - 0000, USA",DONALD GENE   HOLLENBECK ,Active,
07938590,3 DIGITAL SOLUTIONS INC.,Legal Name,Stock Corporation,"13315 SCHWENGER PL, HERNDON, VA, 20170 - 0000, USA",BISHAN   RAI ,Inactive,
S6484440,3 DTECH SOLUTIONS LLC,Legal Name,Limited Liability Company,"1110 ELDEN STREET, BLOCK D, SUITE #301, HERNDON, VA, 20170 - 0000, USA",RAMAKRISHNA   GRANDHI ,Inactive,
08466807,3'J REMODELING INC.,Legal Name,Stock Corporation,"405 HILLWOOD CT, HERNDON, VA, 20170 - 0000, USA",MARIO O ARCE   VEGA ,Inactive,
S3813971,"30 Gannon Way, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Inactive,
11398168,3022EPoplarRd LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Inactive,
S4977395,"3027 Ashburton, LLC",Legal Name,Limited Liability Company,"800 Third St., Suite 100, Herndon, VA, 20170 - 0000, USA",BRAD   MARTIN ,Inactive,
11805516,311WilliamsburgRd LLC,Legal Name,Limited Liability Company,"585 Grove St Ste 100, Herndon, VA, 20170 - 4791, USA",Crescent Operative Inc.,Active,
S4648202,321 Management LLC,Legal Name,Limited Liability Company,"765 Grace Street, Herndon, VA, 20170 - 0000, USA",SUZETTE   HOFFMAN ,Inactive,
S8670822,3245 Riodrive602 LLC,Legal Name,Limited Liability Company,"555 Grove St, Suite: 102, Herndon, VA, 20170 - 0000, USA",Crescent Operative Inc.,Active,
11447353,"3531 MT LOGISTICS, LLC",Legal Name,Limited Liability Company,"1211 SUNRISE CT, Herndon, VA, 20170, USA",ERIK ALFREDO MARTINEZ ,Inactive,
S7275748,358 Design Studio LLC,Legal Name,Limited Liability Company,"12053 Cheviot Dr, Herndon, VA, 20170 - 0000, USA",BENJAMIN JEAN   CARSTOIU ,Active,
11585355,"360 IMAGERY SERVICES, LLC",Legal Name,Limited Liability Company,"1539 Coat Ridge Rd, Herndon, VA, 20170, USA",Emmett Hurricane Long ,Active,
S8637482,365 Mile Challenge LLC,Legal Name,Limited Liability Company,"1515 Bal Harbor Ct., Herndon, VA, 20170 - 0000, USA",VALERIE LYNN   HOPKINS ,Active,
11336136,365 TRANSPORTATION LLC,Legal Name,Limited Liability Company,"1143 AUTUMNHAZE CT, Herndon, VA, 20170, USA",MARGEL ISKANDAR GUERRERO ,Inactive,
S3813989,"37 Dulany Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Active,
11479342,3732 RosemontAve LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
07555139,3av incorporated,Legal Name,Stock Corporation,"12801 WORLDGATE DR., STE 500, HERNDON, VA, 20170 - 0000, USA",HARISH   DONTHI ,Inactive,
08427825,3D Storm Studio Corp.,Legal Name,Stock Corporation,"8001 Miller Dr, Manassas, VA, 20111 - 2509, USA",Unifirst Financial LLC,Inactive,
S6996757,"3G Group, LLC",Legal Name,Limited Liability Company,"2167 Astoria Circle, Apt. 115, Herndon, VA, 20170 - 0000, USA",GARY L.  WEIDNER JR ,Inactive,
S3725902,3rd Avenue Productions LLC,Legal Name,Limited Liability Company,"2767 WIGEON CT, Waldorf, MD, 20601 - 0000, USA",ROBERT   WILEY ,Active,
S4390847,4 CRE LLC,Legal Name,Limited Liability Company,"11858 Timber Knoll Ct., Herndon, VA, 20170 - 0000, USA",MURAJI   NAKAZAWA ,Inactive,
S3112200,"4 ME 2 BFIT, LLC",Legal Name,Limited Liability Company,"516 DRANESVILLE RD, HERNDON, VA, 20170 - 0000, USA",RODNEY C   SASHER ,Inactive,
11823355,"4 Ounces, LLC",Legal Name,Limited Liability Company,"1108 Grant St, Herndon, VA, 20170, USA",Wesley Eugene Manship Jr.,Active,
07511066,"4 QUARTERS, INC.",Legal Name,Nonstock Corporation,"412 N GARFIELD ST, ARLINGTON, VA, 22201 - 0000, USA",NANCY J   O'REILLY ,Inactive,
S0600876,"401 Glenn Drive Sterling, L.L.C.",Legal Name,Limited Liability Company,"481 CARLISLE DRIVE, HERNDON, VA, 20170 - 0000, USA",DANIEL R   BAKER ,Inactive,
S4590941,402 McFADDEN LLC,Legal Name,Limited Liability Company,"2501 CAMBERWELL CT, HERNDON, VA, 20170 - 0000, USA",SYLVIA   EASTMOND ,Active,
11743122,414MagnoliaCt LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S4621332,"4200 TECH COURT, LLC",Legal Name,Limited Liability Company,"481 Carlisle Drive, Herndon, VA, 20170 - 0000, USA",PHILIP A.   NICKLES ,Active,
11743124,43303ChokeberrySq LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S4534584,"4362 Normandy, LLC",Legal Name,Limited Liability Company,"12006 Heather Down Drive, Herndon, VA, 20170 - 0000, USA",TIM   MAKOUTZ ,Inactive,
S6281804,"44075 Pipeline Plaza, LLC",Legal Name,Limited Liability Company,"633 Jefferson St, Herndon, VA, 20170 - 4710, USA",THOMAS P.   FINLEY ,Active,
S1843558,"44075 PIPELINE, L.L.C.",Legal Name,Limited Liability Company,"847 STATION ST, HERNDON, VA, 20170 - 0000, USA",NANCY J   O'REILLY ,Inactive,
11686375,4421 13th Pl LLC,Legal Name,Limited Liability Company,"13421 Parcher Ave, Herndon, VA, 20170, USA",Charles  Ho ,Active,
11075660,"4443 Brookfield, LLC",Legal Name,Limited Liability Company,"481 Carlisle Dr, Herndon, VA, 20170 - 4882, USA",Philip A. Nickles ,Active,
S1205907,4504 Plank Road LLC,Legal Name,Limited Liability Company,"11619 Cedar Chase Rd, Herndon, VA, 20170, USA",ANN A   PARK ,Active,
S7147459,45610IronHorseTerrace LLC,Legal Name,Limited Liability Company,"555 GROVE ST, 102, HERNDON, VA, 20170 - 0000, USA",Crescent Operative Inc.,Inactive,
11799418,45798 Winding Branch LLC,Legal Name,Limited Liability Company,"1434 Cellar Creek Way, Herndon, VA, 20170 - 2017, USA",Elizabeth  Wong ,Active,
11214895,45ShgarlandSqCt LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
11708823,46016GrammercyTer LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S8655658,4606 8th St NW LLC,Legal Name,Limited Liability Company,"12209 Windsor Hall Way, Herndon, VA, 20170 - 0000, USA",ERIC   THOMPSON ,Active,
S1428285,"46790 Lawnes Creek Terrace, L.L.C.",Legal Name,Limited Liability Company,"12109 HEATHER WAY, HERNDON, VA, 20170 - 0000, USA",LINDA L   MASLAR ,Inactive,
11184347,46851WoodstoneTer LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
S3951003,"47 Benton Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Inactive,
11101299,4702 Rippling Pond Dr LLC,Legal Name,Limited Liability Company,"555 Grove St Ste 102, Herndon, VA, 20170 - 4728, USA",Crescent Operative Inc.,Active,
11194171,481 Lake Shore LLC,Legal Name,Limited Liability Company,"1020 elden st ste 103, Herndon, VA, 20170, USA",Packy   Poon ,Inactive,
S6204814,4821 Spring Lake Dr B LLC,Legal Name,Limited Liability Company,"1020 Elden St. Suite 103, Herndon, VA, 20170 - 0000, USA",YUEN   POON ,Active,
S6736757,495 Contracting LLC,Legal Name,Limited Liability Company,"1312 Dulles Place, Herndon, VA, 20170 - 0000, USA",CARLOS MARIO   GARCIA ,Inactive,
S6214045,"4Brothers, LLC",Legal Name,Limited Liability Company,"12563 Rock Ridge Rd, Herndon, VA, 20170 - 0000, USA",MANJOJ   SHRESTHA ,Inactive,
05210455,"4C NET, INC.",Legal Name,Stock Corporation,"609 ADAMS STREET, HERNDON, VA, 20170 - 0000, USA",NADER   GHOBADI ,Active,
S6500310,"4H Group, LLC",Legal Name,Limited Liability Company,"1037 Sterling Road, Suite 204, Herndon, VA, 20170 - 0000, USA",DANIEL H   HAMAD ,Active,
S4919280,"4Planes Montessori, LLC",Legal Name,Limited Liability Company,"914 BARKER HILL ROAD, HERNDON, VA, 20170, USA",HEATHER   LATAILLE ,Inactive,
S8125181,"4U Global, LLC",Legal Name,Limited Liability Company,"130 Fortnightly Blvd, Herndon, VA, 20170 - 0000, USA",CATHERINE   WILKES ,Inactive,
S7802707,5 Stars Partnership LLC,Legal Name,Limited Liability Company,"12143 Eddyspark Dr, Herndon, VA, 20170 - 0000, USA",KOSHIKO   BEEGAN ,Inactive,
S7472436,50 Tech Parkway GEG LLC,Legal Name,Limited Liability Company,"505 Huntmar Park Drive, Suite 245, Herndon, VA, 20170 - 0000, USA",IRFAN   TOTONJI ,Inactive,
S6696811,5003 5th St NW LLC,Legal Name,Limited Liability Company,"7921 Jones Branch Rd, Suite 222, McLean, VA, 22102 - 0000, USA",MEHMET   OGDEN ,Inactive,
S6909297,503 Florida Ave Condo LLC,Legal Name,Limited Liability Company,"795 Center St, Herndon, VA, 20170 - 0000, USA",Ambreen  Ahmed ,Inactive,
S5730710,503 Florida Ave LLC,Legal Name,Limited Liability Company,"11922 Safa Ct, Herndon, VA, 20170 - 0000, USA",FATIMA   MIRZA ,Active,
11691864,"5036 Astor Place, LLC",Legal Name,Limited Liability Company,"12041 Heather Down Dr, Herndon, VA, 20170 - 2739, USA",John  Hanna ,Active,
07934110,"503Partners, Inc.",Legal Name,Stock Corporation,"503 CARLISLE DRIVE, SUITE 200, HERNDON, VA, 20170 - 0000, USA",CARY   TOOR ,Inactive,
S3814011,"51 Bickel Court, LLC",Legal Name,Limited Liability Company,"11609 TORI GLEN CT, HERNDON, VA, 20170 - 0000, USA",Rebecca  Dunlop ,Active,
11089593,"52 STATE MOVERS, INC.",Legal Name,Stock Corporation,"804 MOSBY HOLLOW DR, Herndon, VA, 20170, USA",GRECIA YAJAIRA RUBIO CRUZ ,Inactive,
S5730678,531 Florida Ave LLC,Legal Name,Limited Liability Company,"11922 Safa Ct, Herndon, VA, 20170 - 0000, USA",FATIMA   MIRZA ,Active,
S7134226,"536 Oklahoma Ave NE, LLC",Legal Name,Limited Liability Company,"536 Oklahoma Ave NE, Washington, DC, 20002 - 0000, USA","FIERRO & KORI, PLLC",Inactive,
S8437859,5485 LEE HWY LLC,Legal Name,Limited Liability Company,"5485 LEE HWY, WARRENTON, VA, 20187 - 0000, USA",HARBANS   SINGH ,Active,
