Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
S1290693,"2900 CLARENDON COMMERCIAL, LLC",Legal Name,Limited Liability Company,"BUSH CONSTRUCTION CORP, 4029 IRONBOUND RD STE 200, WILLIAMSBURG, VA, 23188 - 0000, USA",Karen  Dunn ,Active,
S0728701,"2900 CLARENDON DEVELOPMENT ASSOCIATES, LLC",Legal Name,Limited Liability Company,"4029 IRONBOUND ROAD SUITE 200, WILLIAMSBURG, VA, 23188 - 0000, USA",MICHELE   BALL ,Inactive,
S8124721,"2Be.Well, LLC",Legal Name,Limited Liability Company,"3709 Strawberry Plains Rd Ste B, Williamsburg, VA, 23188 - 3424, USA",William Hunter Old ,Pending Inactive,
S1232455,"2COMMAS, L.L.C.",Legal Name,Limited Liability Company,"4925 CENTERVILLE RD STE C, WILLIAMSBURG, VA, 23188 - 0000, USA",DAVID L  HERTZLER II ,Inactive,
S8131759,"2GNR 13 South Rowland, LLC",Legal Name,Limited Liability Company,"3901 John Shropshire, Williamsburg, VA, 23188 - 0000, USA",RAVI   PATEL ,Inactive,
S1035023,"2J INVESTMENTS, LLC",Legal Name,Limited Liability Company,"4005 Coronation , Williamsburg, VA, 23188 - 0000, USA",BRIAN R   MARRON ,Active,
11380050,2Marrow's Kids Foundation,Legal Name,Nonstock Corporation,"707 Marks Pond Way, Williamsburg, VA, 23188, USA",Michael W. London Sr.,Active,
11682037,"2ND LIFE FURNITURE, LLC",Legal Name,Limited Liability Company,"6221 Weathersfield Way, Williamsburg, VA, 23188, USA","CORPORATE SERVICE CENTER, INC.",Active,
S5166980,2nd to None Carpet Care LLC,Legal Name,Limited Liability Company,"2406 Pinnacle Arch, Williamsburg, VA, 23188 - 0000, USA",JOEL LEE  SMITH JR ,Inactive,
11828989,2nd Wind LLC,Legal Name,Limited Liability Company,"235 Bald Eagle Way, Williamsburg, VA, 23188, USA","United States Corporation Agents, Inc.",Active,
04768453,"2X2 TO THE ARK, LTD.",Legal Name,Stock Corporation,"7297 RICHMOND ROAD, WILLIAMSBURG, VA, 23188 - 0000, USA",J STEPHEN  ROBERTS SR ,Inactive,
11130070,3 Day Bike About LLC,Legal Name,Limited Liability Company,"4625 Town Creek Dr, Williamsburg, VA, 23188 - 2690, USA",Susanna B. Hickman ,Inactive,
11817070,3 J's Rentals LLC,Legal Name,Limited Liability Company,"272 Saddletown Rd, Williamsburg, VA, 23188, USA",Latrice  Michelle  Boyce  ,Active,
11373204,3 Keys LLC,Legal Name,Limited Liability Company,"1405 Oliver Walcott Spur, Williamsburg, VA, 23188, USA",ZENBUSINESS INC.,Inactive,
S5190774,"3 Little Birds Counseling, LLC",Legal Name,Limited Liability Company,"109 Molesey Hurst, Williamsburg, VA, 23188 - 0000, USA",CARRIE LYNN   BAILEY ,Inactive,
11043841,3 Rivers Contract Services LLC,Legal Name,Limited Liability Company,"4071 Ironbound Rd Ste 200, Williamsburg, VA, 23188 - 2894, USA",John C Wilson ,Inactive,
11345981,3-B Investments LLC,Legal Name,Limited Liability Company,"10128 Sycamore Landing Rd, Williamsburg, VA, 23188 - 1256, USA",Nicholas  Orozco ,Inactive,
S7114137,"302 Bulifants, LLC",Legal Name,Limited Liability Company,"105 BULIFANTS BLVD STE B, WILLIAMSBURG, VA, 23188 - 0000, USA",SHEPELLE   WATKINS-WHITE ,Inactive,
11003772,320 MONTICELLO LIMITED LIABILITY COMPANY,Legal Name,Limited Liability Company,"5372 Discovery Park Blvd, Williamsburg, VA, 23188 - 3033, USA",Mark  R.  Bowman ,Active,
11140714,327 Richmond LLC,Legal Name,Limited Liability Company,"5308 Discovery Park Blvd Ste 203, Williamsburg, VA, 23188 - 2880, USA",Amy S Sebring ,Active,
11556549,"3308 Arran Thistle, LLC",Legal Name,Limited Liability Company,"216 Royal Dublin, WILLIAMSBURG, VA, 23188, USA",James D Allegretto ,Active,
11258189,"3512 Sandfiddler LKC, LLC",Legal Name,Limited Liability Company,"4712 Levingston Ln, Williamsburg, VA, 23188, USA",Timothy T Kloth ,Active,
S5072485,360 Behavior Consulting PLLC,Legal Name,Limited Liability Company,"5501 Swan Rd, Williamsburg, VA, 23188 - 9408, USA",LYNN MICHELE   HUSBAND ,Active,
S4696292,3811 Properties LLC,Legal Name,Limited Liability Company,"4801 COURTHOUSE ST STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",PAUL W   GERHARDT ,Inactive,
11118291,3Artist&aCanvas LLC,Legal Name,Limited Liability Company,"4667 Noland Blvd, Williamsburg, VA, 23188, USA",Desiree L Rodgers ,Active,
S6280087,"3Bucks, L.L.C.",Legal Name,Limited Liability Company,"6128 JOHN JACKSON DR, WILLIAMSBURG, VA, 23188 - 0000, USA",BRITNEY H   MADDUX ,Inactive,
S6087730,3D WORLD ENTERPRISE LLC,Legal Name,Limited Liability Company,"4039 Midlands Road, Williamsburg, VA, 23188 - 0000, USA",DEWAYNE   SIMPSON ,Inactive,
11190268,3D&H LLC,Legal Name,Limited Liability Company,"6264 Tewkesbury Way, Williamsburg, VA, 23188, USA",Daniel  Campbell Jr.,Active,
S3322213,"3J-T, LLC",Legal Name,Limited Liability Company,"6648 RICHMOND RD, WILLIAMSBURG, VA, 23188 - 0000, USA",LAWRENCE E   LUCK ,Active,
S7735899,"3monos, LLC",Legal Name,Limited Liability Company,"416 Hempstead Road, Williamsburg, VA, 23188 - 0000, USA",LISA   HATCHER ,Active,
11175331,3POINTS SOLUTIONS LLC,Legal Name,Limited Liability Company,"169 Devon Rd, Williamsburg, VA, 23188, USA","Virginia Professional Services, LLC",Inactive,
11294870,3T's Trucking LLC,Legal Name,Limited Liability Company,"4920 Grand Strand Dr Apt 303, Williamsburg, VA, 23188, USA",Andrew  Kinard ,Inactive,
11184112,4 Royalty LLC,Legal Name,Limited Liability Company,"120 indigo dam rd , Williamsburg, VA, 23188, USA",Shawnell   Eley ,Inactive,
07286057,"401(k) Advisors, Ltd.",Legal Name,Stock Corporation,"117 Ainsdale, WILLIAMSBURG, VA, 23188 - 0000, USA",CRAIG C   DEWEY ,Inactive,
S8414163,"405 Berkley Drive, LLC",Legal Name,Limited Liability Company,"120 Hurlston, Williamsburg, VA, 23188 - 0000, USA",H. HOWARD   HOPKINS ,Active,
11795931,4055NS LLC,Legal Name,Limited Liability Company,"3672 Bridgewater Dr, Williamsburg, VA, 23188 - 2567, USA",Eve L Ellis ,Active,
11777702,413 Gym LLC,Legal Name,Limited Liability Company,"117 Leeds, Williamsburg, VA, 23188, USA",Northwest Registered Agent LLC,Active,
S3093905,"428 McLAWS, LLC",Legal Name,Limited Liability Company,"5400 DISCOVERY PARK BLVD STE 104, WILLIAMSBURG, VA, 23188 - 0000, USA",JONATHAN W   LIEBLER ,Inactive,
S5913001,"4303 Audrey Lane, LLC",Legal Name,Limited Liability Company,"4 HAMLIN CT, WILLIAMSBURG, VA, 23188 - 0000, USA",ROBERT M   CAMPOLATTARO ,Active,
06500086,4324 New Town Avenue Owners Association,Legal Name,Nonstock Corporation,"PO BOX 5010, Williamsburg, VA, 23188, USA",VERNON M  GEDDY III ,Active,
S8409874,"4334 Ironbound, LLC",Legal Name,Limited Liability Company,"115 Chinkapin Lane, Williamsburg, VA, 23188 - 0000, USA","COLONIAL INVESTORS, INCORPORATED",Active,
11439445,4401 Ironbound LLC,Legal Name,Limited Liability Company,"4401 Ironbound Rd, Williamsburg, VA, 23188 - 2621, USA",James E. Vaiden ,Active,
S7364146,4507 Virginia Dare LLC,Legal Name,Limited Liability Company,"4801 Courthouse Square, Ste. 302, Williamsburg, VA, 23188 - 0000, USA",PENNY   JACKSON ,Inactive,
11657290,"4710 Sturgeon Point Road, LLC",Legal Name,Limited Liability Company,"4680 Monticello Ave, Williamsburg, VA, 23188, USA",Northwest Registered Agent LLC,Active,
11415772,"475 Burnham Road, LLC",Legal Name,Limited Liability Company,"102 Shady Bluff Pt, Williamsburg, VA, 23188, USA",Carol D Tyrer ,Active,
S5237898,"477 Land Fall, LLC",Legal Name,Limited Liability Company,"4029 IRONBOUND RD STE 100, WILLIAMSBURG, VA, 23188 - 0000, USA",MICHELE Z   BALL ,Inactive,
06404669,"4804 Courthouse Street Office Condominiums Owners' Association, Inc.",Legal Name,Nonstock Corporation,"PO Box 5010, Williamsburg, VA, 23188 - 2678, USA","Tarley Robinson, PLC",Active,
11343722,4808 Courthouse LLC,Legal Name,Limited Liability Company,"4808 Courthouse St Ste 101, Williamsburg, VA, 23188 - 2684, USA",H. Alexander  Johnson ,Active,
06410443,4808 Courthouse Street Owners Association,Legal Name,Nonstock Corporation,"PO Box 5010, C/O Town Management Llc, Williamsburg, VA, 23188 - 5200, USA",VERNON M  GEDDY III ,Active,
11506312,4854 GOLDEN CHINA 1 INC.,Legal Name,Stock Corporation,"4854 Longhill Rd Ste 1B, Williamsburg, VA, 23188 - 2040, USA",YAN  ZHENG ,Inactive,
11364132,4D Renovations LLC,Legal Name,Limited Liability Company,"109 tilghman Ct, Williamsburg, VA, 23188, USA",David  Deliz ,Inactive,
S3870716,4FrontMarketing LLC,Legal Name,Limited Liability Company,"106 Southeast Trace, Williamsburg, VA, 23188 - 0000, USA",W L   JENKINS ,Active,
S3924562,"4MEO, LLC",Legal Name,Limited Liability Company,"6005 FOX DEN, WILLIAMSBURG, VA, 23188 - 7363, USA",ROSS EDWARD   BAYS ,Inactive,
11517605,4Travel LLC,Legal Name,Limited Liability Company,"400 Shipwright Loop Apt B208, Williamsburg, VA, 23188 - 9227, USA",Emma  Smith ,Inactive,
S3444322,"5 Brothers Lawn Care, LLC",Legal Name,Limited Liability Company,"5583 Mooretown Rd Ste A, Williamsburg, VA, 23188 - 2111, USA",William Peyton Akers ,Active,
S8042105,"5 Hart Homes, LLC",Legal Name,Limited Liability Company,"3449 Frances Berkeley, Williamsburg, VA, 23188 - 0000, USA",ANDREA C   HARTNETT ,Active,
S5886645,"50 Florida Avenue Development Associates, LLC",Legal Name,Limited Liability Company,"4029 IRONBOUND ROAD, SUITE 200, WILLIAMSBURG, VA, 23188 - 0000, USA",Karen  Powers Dunn ,Active,
11773815,504 Spring Trace LLC,Legal Name,Limited Liability Company,"110 Haradd Ln, Williamsburg, VA, 23188 - 1009, USA",Emily  Brooks ,Active,
S7752720,"5107 Partners, LLC",Legal Name,Limited Liability Company,"5107 Center Street, Unit B-1, Williamsburg, VA, 23188 - 0000, USA",SOUTH T.   PATTERSON ,Active,
06443378,5121 Center Street Owners Association,Legal Name,Nonstock Corporation,"PO BOX 5010, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Active,
11106689,"5215 Monticello Ave, LLC",Legal Name,Limited Liability Company,"5215 Monticello Ave, Williamsburg, VA, 23188 - 8232, USA",Todd J Preti ,Inactive,
S5912318,"5240 Rockingham Drive, LLC",Legal Name,Limited Liability Company,"4 HAMLIN CT, WILLIAMSBURG, VA, 23188 - 0000, USA",ROBERT M   CAMPOLATTARO ,Active,
S4229565,"52nd Street, LLC",Legal Name,Limited Liability Company,"5268 Olde Towne Rd, WILLIAMSBURG, VA, 23188 - 0000, USA",Scott C. Hartin ,Active,
S4909976,"5388 Holdings, LLC",Legal Name,Limited Liability Company,"107 Lewis Cir, Williamsburg, VA, 23188, USA",Rebecca Shwayder Aman ,Active,
07115157,"5400 Discovery Park Boulevard Office Condominium Association of Unit Owners, Inc.",Legal Name,Nonstock Corporation,"PO Box 5010, Williamsburg, VA, 23188 - 5200, USA","Tarley Robinson, PLC",Active,
11413584,"5492 Olde Towne Rd., LLC",Legal Name,Limited Liability Company,"5492 Olde Towne Rd, Williamsburg, VA, 23188 - 1914, USA",Adelle   M.   Broom ,Active,
S5336138,"5526 Nicholson Lane Development Associates, LLC",Legal Name,Limited Liability Company,"4029 IRONBOUND RD SUITE 200, WILLIAMSBURG, VA, 23188 - 0000, USA",MICHELLE Z.   BALL ,Inactive,
S5591542,"5600 Properties, LLC",Legal Name,Limited Liability Company,"4808 COURTHOUSE ST, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
S7756341,5618 Foundation St. LLC,Legal Name,Limited Liability Company,"5618 Foundation St., Williamsburg, VA, 23188 - 0000, USA",   ,Inactive,
S7103999,58 Jordan LLC,Legal Name,Limited Liability Company,"112 WILSON CIR, WILLIAMSBURG, VA, 23188 - 0000, USA",ROMAN   MOLITORIS ,Active,
11343060,5FBC Inc. Of the People,Legal Name,Nonstock Corporation,"7151 Richmond Rd Ste 201A, WILLIAMSBURG, VA, 23188 - 7234, USA",Christopher Montgomery Woodfin ,Inactive,
11507867,6138 CENTERVILLE ROAD LLC,Legal Name,Limited Liability Company,"6178 Centerville Rd, Williamsburg, VA, 23188 - 7312, USA",ALEX D FRAZIER ,Active,
S4456309,"623 High Street, LLC",Legal Name,Limited Liability Company,"2030 BUSH NECK RD, WILLIAMSBURG, VA, 23188 - 0000, USA",BENNETT L   STEIN ,Inactive,
S8146179,"6342 MIDNIGHT PASS ROAD APT 436, LLC",Legal Name,Limited Liability Company,"4231 Exbury Lane, Williamsburg, VA, 23188 - 0000, USA",MICHAEL L.   NICKEL ,Active,
L0178006,"6401 RICHMOND ROAD, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
S1193947,"6401 RR TBL, LLC",Legal Name,Limited Liability Company,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",SAMUEL W  MEEKINS JR ,Inactive,
S5301009,"6910, LLC",Legal Name,Limited Liability Company,"C/O HORNSBY REAL ESTATE CO, 4732 LONGHILL RD STE 1101, WILLIAMSBURG, VA, 23188 - 0000, USA",ANN   HORNSBY ,Inactive,
11427750,7 Cities HR LLC,Legal Name,Limited Liability Company,"4039 mill dam ct, Williamsburg, VA, 23188, USA",Vincenzo  Fiorello ,Active,
S5615663,707 Lee Cir LLC,Legal Name,Limited Liability Company,"4063 Thorngate Dr, williamsburg, VA, 23188 - 0000, USA",PHIL A   COGHLAN ,Inactive,
S5187119,"720 Graves Ordinary, LLC",Legal Name,Limited Liability Company,"119 S Turnberry, Williamsburg, VA, 23188 - 8924, USA",SUSAN   KRANCER ,Inactive,
11573483,"725 Mainsail Arch, LLC",Legal Name,Limited Liability Company,"5420 CENTER ST, WILLIAMSBURG, VA, 23188, USA",MICHAEL T SOBERICK ,Active,
S8409791,"731 Scotland, LLC",Legal Name,Limited Liability Company,"115 Chinkapin Lane, Williamsburg, VA, 23188 - 0000, USA","COLONIAL INVESTORS, INCORPORATED",Active,
S2746057,"737 Shields, LLC",Legal Name,Limited Liability Company,"3713 SHACKLETON LANE, WILLIAMSBURG, VA, 23188 - 0000, USA",BRYAN A   NORSWORTHY ,Active,
S8409817,"745 Scotland, LLC",Legal Name,Limited Liability Company,"115 Chinkapin Ln, Williamsburg, VA, 23188 - 0000, USA","COLONIAL INVESTORS, INCORPORATED",Active,
S5501921,"757 Athletics, LLC",Legal Name,Limited Liability Company,"5700 Warhill Trail, Williamsburg, VA, 23188 - 0000, USA","Tarley Robinson, PLC",Inactive,
11606020,757 Fade House LLC,Legal Name,Limited Liability Company,"2310 William Ellery Dr, Williamsburg, VA, 23188, USA",Tyrell T Courtney ,Inactive,
11242830,757 Nextlevel Sports,Legal Name,Nonstock Corporation,"4184 John Richardson Ln, Williamsburg, VA, 23188 - 8049, USA",Gregory P. Bergethon ,Inactive,
11268355,"757 Premier Services, LLC",Legal Name,Limited Liability Company,"102 Allyson Dr, Williamsburg, VA, 23188 - 1703, USA",Lamonte  Maxwell ,Inactive,
11088874,"757 Property Inspections, LLC",Legal Name,Limited Liability Company,"305 Big Gap Rd, Williamsburg, VA, 23188, USA",Toni  Felix ,Active,
S5981222,757DEALS LLC,Legal Name,Limited Liability Company,"5219 MONTICELLO AVE, WILLIAMSBURG, VA, 23188 - 0000, USA",ABRAHAM   BLAUMFELD ,Inactive,
S7233374,"757NextLevelAthletes Conditioning & Personal Training, LLC",Legal Name,Limited Liability Company,"7728 #104 Croaker Road, Williamsburg, VA, 23188 - 0000, USA",KENNETH FRANKLIN   HOLLOWAY ,Inactive,
07964596,"757Swim, Inc.",Legal Name,Nonstock Corporation,"5720 Warhill Trl, WILLIAMSBURG, VA, 23188, USA","Tarley Robinson, PLC",Active,
