Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
11016683,107 LEVELFIELD LLC,Legal Name,Limited Liability Company,"4605 Yeardley Loop, Williamsburg, VA, 23185, USA",Salvatore  Sedita ,Active,
11016682,107 SAWGRASS LLC,Legal Name,Limited Liability Company,"4605 Yeardley Loop, Williamsburg, VA, 23185, USA",Salvatore  Sedita ,Active,
L0207128,"10993 Buckley Hall, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
L0210726,"11017 Buckley Hall, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
L0209926,"11063 Buckley Hall, LLLP",Legal Name,Limited Partnership,"4029 IRONBOUND RD STE 300, WILLIAMSBURG, VA, 23188 - 0000, USA",VERNON M  GEDDY III ,Inactive,
S2463695,"111 Spring Road, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",SHELBY M   HAWTHORNE ,Inactive,
11295783,"11134 Warwick Properties, LLC",Legal Name,Limited Liability Company,"700 York St, Williamsburg, VA, 23185 - 4700, USA",Vernon M. Geddy III,Active,
S4231959,"1120 Wilkins, LLC",Legal Name,Limited Liability Company,"23 Braywood, Williamsburg, VA, 23185 - 0000, USA",DIANE LYNCH   ABDELNOUR ,Inactive,
S8038814,1135 PINE HALL ROAD LLC,Legal Name,Limited Liability Company,"1184 Antioch Road, Susan, VA, 23163 - 0000, USA","BUXTON & BUXTON, a Professional Corporation",Pending Inactive,
11016685,117 ROLLINS LLC,Legal Name,Limited Liability Company,"4605 Yeardley Loop, Williamsburg, VA, 23185, USA",Salvatore  Sedita ,Active,
S2463562,"1184 Jamestown Road #47, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",SHELBY M   HAWTHORNE ,Active,
S3977859,"1209 Duncan, LLC",Legal Name,Limited Liability Company,"23 Braywood Road, Williamsburg, VA, 23185 - 0000, USA",DIANE L.   ABDELNOUR ,Inactive,
S7515119,12496 Warwick LLC,Legal Name,Limited Liability Company,"44 Whittakers Mill Rd, Williamsburg, VA, 23185 - 0000, USA",CHRISTOPHER BRAD   COOK ,Inactive,
11016684,126 BARN SWALLOW LLC,Legal Name,Limited Liability Company,"4605 Yeardley Loop, Williamsburg, VA, 23185, USA",Salvatore  Sedita ,Active,
11703710,127 Pelhams Ordinary LLC,Legal Name,Limited Liability Company,"3 Mirabelle Ct, Mount Sinai, NY, 11766 - 2232, USA",Tracy McMurtrie Luck ,Active,
S7426762,128 Becky Ct LLC,Legal Name,Limited Liability Company,"13198 Tall Oak Turn, Sumerduck, VA, 22742 - 0000, USA",Jeremy C. Johnson ,Active,
S4705218,128 John Bratton LLC,Legal Name,Limited Liability Company,"128 John Bratton, Williamsburg, VA, 23185 - 0000, USA",ANTHONY JOHN   DEROSA ,Active,
S2878470,"128 Matoaka, LLC",Legal Name,Limited Liability Company,"142 KINGSPOINT DR, WILLIAMSBURG, VA, 23185 - 0000, USA",CHRISTINE L   WILLIAMSON ,Inactive,
S6106035,"129 Wampum, LLC",Legal Name,Limited Liability Company,"23 Braywood Rd, Williamsburg, VA, 23185 - 0000, USA",DIANE L   ABDELNOUR ,Active,
11809589,"1317 Jamestown, LLC",Legal Name,Limited Liability Company,"1315 Jamestown Rd Ste 101, Williamsburg, VA, 23185 - 3363, USA",John Dimitrios Konstantinou ,Active,
S1650714,1321 Jamestown Road LLC,Legal Name,Limited Liability Company,"1321 JAMESTOWN RD STE 202, WILLIAMSBURG, VA, 23185 - 0000, USA",JAMES E   VAIDEN ,Active,
S6772703,"136138 Holdings, LLC",Legal Name,Limited Liability Company,"136 Professional Circle, Williamsburg, VA, 23185 - 0000, USA",Sonya Nadine Peretti-Hull ,Inactive,
S6011458,1419 Ford LLC,Legal Name,Limited Liability Company,"1419 Ford Road, Hampton, VA, 23663 - 0000, USA","SWYNFORD LAW, P.C.",Inactive,
S8581839,145 PASBEHEGH DRIVE LLC,Legal Name,Limited Liability Company,"106 Falling Creek Circle, Williamsburg, VA, 23185 - 0000, USA",CHRISTAL A.   O'CONNOR ,Active,
S6905022,1478 Merrimac Trail LLC,Legal Name,Limited Liability Company,"10012 Cedarhollow Ln, Largo, MD, 20774 - 0000, USA",AUDREY   GARDNER ,Active,
S6293262,"1506 Queen's Crossing, LLC",Legal Name,Limited Liability Company,"3000 Earl's Court Apt 1211, Williamsburg, VA, 23185 - 0000, USA",DIONE   MALONEY ,Inactive,
S6011300,1516 Wickham LLC,Legal Name,Limited Liability Company,"1516 Wickham Avenue, Newport News, VA, 23607 - 0000, USA","SWYNFORD LAW, P.C.",Inactive,
S7615893,"153 Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
S7768171,"153I Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
S2136937,"1606 Virginia Dare Trail Holdings, LLC",Legal Name,Limited Liability Company,"3921 PENZANCE PL, WILLIAMSBURG, VA, 23188 - 0000, USA",DAVID W  OTEY JR ,Active,
S7768023,"161B Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
S7768056,"161H Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
S7602065,"163 Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
11041959,1642 Deltaville LLC,Legal Name,Limited Liability Company,"144 HOLDSWORTH RD, Williamsburg, VA, 23185, USA",Christopher E Rouzie ,Inactive,
S2073445,"1650 PROPERTIES, LLC",Legal Name,Limited Liability Company,"104 ELIZABETH MERIWETHER, WILLIAMSBURG, VA, 23185 - 0000, USA",ALAN T   PETERSON ,Inactive,
S4489979,1659-FITZGERALD LANE LLC,Legal Name,Limited Liability Company,"125-YORKSHIRE DR., WILLIAMSBURG, VA, 23185 - 0000, USA",WILLIAM JOHN   BURDINE ,Inactive,
S7768072,"165B Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
S7768155,"167D Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
S7768122,"169C Delmar Ln, LLC",Legal Name,Limited Liability Company,"1111 Old Colony Ln, Williamsburg, VA, 23185 - 0000, USA",MARCIN   DRYGALA ,Inactive,
11497668,16th Oxford Conference,Legal Name,Nonstock Corporation,"244 N Boundary St, Williamsburg, VA, 23185, USA",Christopher  Del Negro ,Active,
S7132949,"17 Twenty One, LLC",Legal Name,Limited Liability Company,"2521 GOODRICH DURFEY, WILLIAMSBURG, VA, 23185 - 0000, USA",ANDREW M   FRANCK ,Inactive,
11281541,1720Rentals LLC,Legal Name,Limited Liability Company,"1320 Richmond Rd # 1007, Williamsburg, VA, 23185 - 2831, USA",Aaliyah  Medwinter ,Inactive,
11772717,180 Fusion Training Institute,Legal Name,Nonstock Corporation,"1769 Jamestown Rd Ste 112, Williamsburg, VA, 23185 - 2310, USA",Ramona  Taylor ,Active,
S4712867,182 Cutspring Arch LLC,Legal Name,Limited Liability Company,"128 John Bratton, Williamsburg, VA, 23185 - 0000, USA",ANTHONY J   DEROSA ,Active,
S2463521,"18437 New Kent Highway, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",SHELBY M   HAWTHORNE ,Active,
S6451605,"1861 Huguenot Trail, LLC",Legal Name,Limited Liability Company,"1867 Huguenot Trail, Powhatan, VA, 23139 - 0000, USA",Charles Mathew Hogg Jr.,Active,
11607501,"1923 Rawood Drive, LLC",Legal Name,Limited Liability Company,"519 Musket Dr, Williamsburg, VA, 23185 - 5325, USA",Jeremy C. Johnson ,Active,
S2776674,"19413 Pefley Drive, LLC",Legal Name,Limited Liability Company,"126 LAKE DR, WILLIAMSBURG, VA, 23185 - 0000, USA",WILLIAM F   MILLER ,Inactive,
07377245,"1959 Real Estate, Inc.",Legal Name,Stock Corporation,"201 PRINCE CHARLES ROAD, WILLIAMSBURG, VA, 23185 - 0000, USA",RANDALL S   HAWTHORNE ,Inactive,
03433190,"1981, INC.",Legal Name,Stock Corporation,"9200 COMMERCE BLVD, WILLIAMSBURG, VA, 23185 - 0000, USA",ROBERT D  MARSHALL III ,Active,
S6871315,"1st Choice Data, LLC",Legal Name,Limited Liability Company,"8556 PATRICK HENRY WAY, GLOUCESTER, VA, 23061 - 0000, USA",ROBERT V.   ROUSSOS ,Inactive,
11597482,1st Sight Custodial Services llc,Legal Name,Limited Liability Company,"932 N Henry St, Williamsburg, VA, 23185 - 4131, USA",Danny  adkins ,Inactive,
11383611,2 Brothers Roofing LLC,Legal Name,Limited Liability Company,"1100 Springfield Rd, Williamsburg, VA, 23185 - 5818, USA",Paola Elizabeth Mayrena Escobar ,Inactive,
11515520,2 E.A.G. LEGACY HOLDINGS LLC,Legal Name,Limited Liability Company,"205 Brittania Dr, Williamsburg, VA, 23185 - 5789, USA",DaShana Yasmine  Kemp-Garnett ,Active,
S7303474,2 Rocks LLC,Legal Name,Limited Liability Company,"421 N 23rd Street, Richmond, VA, 23223 - 0000, USA",EDWIN JONES   PEASE ,Active,
11388379,20 Decades LLC,Legal Name,Limited Liability Company,"9115 Serenity Ln, Toano, VA, 23168 - 8935, USA",Bray Knicely Law PLLC,Active,
11055875,201 Cary LLC,Legal Name,Limited Liability Company,"1321 Jamestown Rd Ste 202, Williamsburg, VA, 23185, USA",James E. Vaiden ,Active,
S2459123,"201 Matoaka Court, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",RANDALL S   HAWTHORNE ,Active,
11778915,"205 Bulifants, LLC",Legal Name,Limited Liability Company,"8 Bray Wood Rd, Williamsburg, VA, 23185, USA",ROBERT C MILLER ,Active,
S1602202,"207 Cary Street, LLC",Legal Name,Limited Liability Company,"304 S BOUNDARY ST, WILLIAMSBURG, VA, 23185 - 0000, USA",COLBY T   CUMBER ,Inactive,
S2893602,"210 Matoaka Court, LLC",Legal Name,Limited Liability Company,"213 MATOAKA CT, WILLIAMSBURG, VA, 23185 - 0000, USA",DONNA L   CRINKLAW ,Inactive,
S8609028,"2115 Hydraulic Road, LLC",Legal Name,Limited Liability Company,"1705 King Mountain Road, Charlottesville, VA, 22901 - 0000, USA",David B. Graham ,Active,
11016688,216 AVENUE T LLC,Legal Name,Limited Liability Company,"4605 Yeardley Loop, Williamsburg, VA, 23185, USA",Salvatore  Sedita ,Active,
S1759275,"216 BARNES ST., LLC",Legal Name,Limited Liability Company,"100 SHARPS LN, WILLIAMSBURG, VA, 23185 - 0000, USA",JAMES E  RICE III ,Inactive,
S8305387,219 Barlow LLC,Legal Name,Limited Liability Company,"219 Barlow Road, Williamsburg, VA, 23188 - 0000, USA",ANDREW   FRANCK ,Inactive,
S3562248,"219 MCLAWS CIRCLE, LLC",Legal Name,Limited Liability Company,"219 MCLAWS CIRCLE, WILLIAMSBURG, VA, 23185 - 0000, USA",MARK   CROUCHER ,Active,
11824968,"22 Cups, LLC",Legal Name,Limited Liability Company,"105 Chardonnay Rd, Williamsburg, VA, 23185, USA",Jordan  Desilets ,Active,
S2878496,"220 Neck-O-Land, LLC",Legal Name,Limited Liability Company,"142 KINGSPOINT DR, WILLIAMSBURG, VA, 23185 - 0000, USA",FORREST W   WILLIAMSON ,Active,
S0679243,"222 Dumfries Associates, L.L.C.",Legal Name,Limited Liability Company,"2951 JEFFERSON DAVIS HIGHWAY, STAFFORD, VA, 22554 - 0000, USA",CATHERINE BLANTON   WEDDINGTON ,Inactive,
S2583526,224 Industrial Boulevard LLC,Legal Name,Limited Liability Company,"925 CAPITOL LANDING RD STE A, WILLIAMSBURG, VA, 23185 - 0000, USA",JAMES W   GRIFFITH ,Inactive,
T0251050,"2314 Holdings, LLC",Legal Name,Limited Liability Company,"1410 KELLY RD, GLENSHAW, PA, 15116 - 0000, USA",NANCY L   WILLIAMS ,Inactive,
04239554,"24TH CENTURY, INC.",Legal Name,Stock Corporation,"3028 TRAVIS POND ROAD, WILLIAMSBURG, VA, 23185 - 0000, USA",CHARLES V   SONSON ,Active,
11322802,"252 Patriot Ln, LLC",Legal Name,Limited Liability Company,"732 Scotland St Ofc, Williamsburg, VA, 23185 - 3571, USA",Peter  Mellette ,Active,
S5290871,"27 Ferndock Creative Content, LLC",Legal Name,Limited Liability Company,"3009 Ashley Way, Williamsburg, VA, 23185 - 0000, USA",ROBERT E.   KORROCH ,Inactive,
S7430749,2706 LCW LLC,Legal Name,Limited Liability Company,"100 N Quarter, Williamsburg, VA, 23185 - 0000, USA",MICHAEL S   KEESEE ,Inactive,
S4464477,27th Street Properties LLC,Legal Name,Limited Liability Company,"148 Marywood Dr, Williamsburg, VA, 23185 - 0000, USA",JOEL   WILLIAMSON ,Inactive,
S2463729,"28 Waters Edge Circle, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",SHELBY M   HAWTHORNE ,Inactive,
S8617377,"285 MERRIMAC TRAIL, UNIT 2, LLC",Legal Name,Limited Liability Company,"156 Second Street, Williamsburg, VA, 23185 - 0000, USA",Bob  Cyphers ,Active,
S8617468,"285 MERRIMAC TRAIL, UNIT 27, LLC",Legal Name,Limited Liability Company,"156 Second Street, Williamsburg, VA, 23185 - 0000, USA",Bob  Cyphers ,Inactive,
S8617484,"285 MERRIMAC TRAIL, UNIT 29, LLC",Legal Name,Limited Liability Company,"156 Second Street, Williamsburg, VA, 23185 - 0000, USA",Bob  Cyphers ,Inactive,
S8617435,"285 MERRIMAC TRAIL, UNIT 4, LLC",Legal Name,Limited Liability Company,"156 Second Street, Williamsburg, VA, 23185 - 0000, USA",Bob  Cyphers ,Active,
S8617450,"285 MERRIMAC TRAIL, UNIT 6, LLC",Legal Name,Limited Liability Company,"156 Second Street, Williamsburg, VA, 23185 - 0000, USA",Bob  Cyphers ,Active,
S6011391,296 Colony LLC,Legal Name,Limited Liability Company,"296 Colony Road, Newport News, VA, 23602 - 0000, USA","SWYNFORD LAW, P.C.",Inactive,
11722589,2B Your Best LLC,Legal Name,Limited Liability Company,"4824 Hickory Signpost Rd, Williamsburg, VA, 23185 - 2406, USA",Babs L Bengtson ,Active,
11090527,"2GIO Builders, LLC",Legal Name,Limited Liability Company,"7994 Spring Hill Farm Rd E, Gloucester, VA, 23061 - 4376, USA",Michael A.  Hendricks ,Active,
11248446,2L Transport Logistics LLC,Legal Name,Limited Liability Company,"1490 Quarterpath Rd # 331 Ste 5A, Williamsburg, VA, 23185 - 6544, USA",Sharyn D Lustre ,Inactive,
S6602041,2nd Alarm Reptiles LLC,Legal Name,Limited Liability Company,"3012 North Court, Williamsburg, VA, 23185 - 0000, USA",worlee  hawkins ,Active,
S5248820,"2nd Street Floors, LLC",Legal Name,Limited Liability Company,"501 Wythe Creek Road, Poquoson, VA, 23662 - 0000, USA",MARK H   ACKERMANN ,Active,
S6457685,"2nd street shops, LLC",Legal Name,Limited Liability Company,"1242 richmond rd, williamsburg, VA, 23185 - 0000, USA",VITTORIO   MINICHIELLO ,Active,
S5450665,2PUTT4PAR Golf LLC,Legal Name,Limited Liability Company,"128 Druid Dr., Williamsburg, VA, 23185 - 0000, USA",GRANT   SMITH ,Inactive,
11471778,2Teach Global LLC,Legal Name,Limited Liability Company,"701 Monumental Ave, Williamsburg, VA, 23185 - 4504, USA",Mason  Murawski ,Active,
04768453,"2X2 TO THE ARK, LTD.",Legal Name,Stock Corporation,"7297 RICHMOND ROAD, WILLIAMSBURG, VA, 23188 - 0000, USA",J STEPHEN  ROBERTS SR ,Inactive,
11675182,3 Brothers hardscaping L.L.C.,Legal Name,Limited Liability Company,"1106 Stewart Dr , Williamsburg, VA, 23185, USA",RUBEN  ALEJANDRO  PULLUNTO PENATE ,Inactive,
11140192,3 BROTHERS ROOFING LLC,Legal Name,Limited Liability Company,"1100 Springfield Rd, Williamsburg, VA, 23185 - 5818, USA",FREDIS ARIEL GONZALEZ SANTOS ,Active,
S1285909,"3 Chix, LLC",Legal Name,Limited Liability Company,"2646 JOCKEYS NECK TRAIL, WILLIAMSBURG, VA, 23185 - 0000, USA",ALISON E   MORRISON ,Inactive,
11748493,"3 comp investments construction, llc",Legal Name,Limited Liability Company,"707 Schooner Blvd , Williamsburg, VA, 23185, USA",Todd  Michael Mayer ,Active,
11130070,3 Day Bike About LLC,Legal Name,Limited Liability Company,"4625 Town Creek Dr, Williamsburg, VA, 23188 - 2690, USA",Susanna B. Hickman ,Inactive,
11502090,"30 Corwin Circle, LLC",Legal Name,Limited Liability Company,"7720 101st Ave Ste 2R, Ozone Park, NY, 11416 - 1963, USA",Robert M. Pfeifer ,Active,
S6781332,30 Mile Course LLC,Legal Name,Limited Liability Company,"30 Mile Course, Williamsburg, VA, 23185 - 0000, USA",AGNEW  SWYNFORD III ,Inactive,
S5781382,"301 Queens Crescent, LLC",Legal Name,Limited Liability Company,"3204 DERBY LN, WILLIAMSBURG, VA, 23185 - 0000, USA",ELEANOR F   BRENNAN ,Active,
08272650,301 Second Street Owners Association,Legal Name,Nonstock Corporation,"1242 RICHMOND RD, WILLIAMSBURG, VA, 23185 - 0000, USA",ANDREW M   FRANCK ,Active,
11193049,"3021 Midway Court, L.L.C.",Legal Name,Limited Liability Company,"647 Greene Ave, Brooklyn, NY, 11221, USA",Helena S Mock ,Inactive,
11463553,"309 Douglas Avenue, LLC",Legal Name,Limited Liability Company,"9104 Hunters Crest Ln, Mechanicsville, VA, 23116 - 3131, USA",Spencer M. Baxter ,Active,
S0670051,"310 Ed Wright Lane, L.L.C.",Legal Name,Limited Liability Company,"310 ED WRIGHT LANE, SUITE B, NEWPORT NEWS, VA, 23606 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Inactive,
S8581797,310 The Maine West LLC,Designated Name,Limited Liability Company,"106 Falling Creek Circle, Williamsburg, VA, 23185, USA",CHRISTAL A   O'CONNOR ,Inactive,
S7312079,312 Benthall Rd LLC,Legal Name,Limited Liability Company,"312 Benthall Rd, Hampton, VA, 23666 - 0000, USA",AGNEW SWYNFORD   IIC ,Inactive,
S4490084,3123-MARTHA CUSTIS DR. LLC,Legal Name,Limited Liability Company,"125-YORKSHIRE DR., WILLIAMSBURG, VA, 23185 - 0000, USA",VIRGINIA M   BURDINE ,Active,
S4231884,"314 Leigh, LLC",Legal Name,Limited Liability Company,"23 Braywood, Williamsburg, VA, 23185 - 0000, USA",DIANE LYNCH   ABDELNOUR ,Active,
S2186924,"321 Ed Wright Lane, LLC",Legal Name,Limited Liability Company,"310 ED WRIGHT LANE, SUITE B, NEWPORT NEWS, VA, 23606 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Inactive,
S2187294,"322 Ed Wright Lane, LLC",Legal Name,Limited Liability Company,"310 ED WRIGHT LANE, SUITE B, NEWPORT NEWS, VA, 23606 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Inactive,
11715063,"325 Circle Holdings, LLC",Legal Name,Limited Liability Company,"200 Mill Stream Way, Williamsburg, VA, 23185, USA",Brian J Gillette ,Active,
11140714,327 Richmond LLC,Legal Name,Limited Liability Company,"5308 Discovery Park Blvd Ste 203, Williamsburg, VA, 23188 - 2880, USA",Amy S Sebring ,Active,
S6799821,3280 WIndsor Ridge South LLC,Legal Name,Limited Liability Company,"111 Falling Creek Circle, Williamsburg, VA, 23185 - 0000, USA",SONYA NADINE   PERETTI-HULL ,Inactive,
S2186882,"330 Ed Wright Lane, LLC",Legal Name,Limited Liability Company,"310 ED WRIGHT LANE, SUITE B, NEWPORT NEWS, VA, 23606 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Inactive,
S8095434,"3321 Lancaster Lane, LLC",Legal Name,Limited Liability Company,"106 SHERIFF'S PLACE, WILLIAMSBURG, VA, 23185 - 0000, USA",TIMOTHY A   STONE ,Inactive,
S3479807,"340 Ed Wright Lane 2, LLC",Legal Name,Limited Liability Company,"11747 JEFFERSON AVENUE, SUITE 3 D, NEWPORT NEWS, VA, 23606 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Inactive,
11745435,3423 Fairfax LLC,Legal Name,Limited Liability Company,"25050 Riding Plz, Sjuite 130 PMB 165, Chantilly, VA, 20152 - 5925, USA",Tracey  Klepic ,Active,
S7910526,"360 AIR TECH, LLC",Legal Name,Limited Liability Company,"1401 Duncan Drive, Williamsburg, VA, 23185 - 0000, USA",Bray Knicely Law PLLC,Active,
S6658415,360 Relations LLC,Legal Name,Limited Liability Company,"150 The Maine, Williamsburg, VA, 23185 - 0000, USA",JOHN   NEILAND ,Inactive,
07723083,"360 Services, Inc.",Legal Name,Stock Corporation,,KELLI   KING ,Inactive,
S2460162,"3605 London Company Way, LLC",Legal Name,Limited Liability Company,"5410 17TH ST N, ARLINGTON, VA, 22205 - 0000, USA",RANDALL S   HAWTHORNE ,Inactive,
S2460188,"3835 Staffordshire Lane, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 0000, USA",RANDALL S   HAWTHORNE ,Inactive,
S2447326,"3837 Staffordshire Lane, LLC",Legal Name,Limited Liability Company,"106 MILL NECK RD, WILLIAMSBURG, VA, 23185 - 3418, USA",RANDALL S   HAWTHORNE ,Active,
S4845923,3aMedia llc,Legal Name,Limited Liability Company,"3017 SOUTH CHASE, WILLIAMSBURG, VA, 23185 - 0000, USA",DANIEL CHRISTOP   FITZPATRICK ,Inactive,
S2989061,"3C Properties, LLC",Legal Name,Limited Liability Company,"108 YORKSHIRE DR, WILLIAMSBURG, VA, 23185 - 0000, USA",CHERRI   SPELLMEYER ,Inactive,
11380042,3CD LLC,Legal Name,Limited Liability Company,"7 Freeman Dr, Poquoson, VA, 23662 - 1711, USA",Helena S Mock ,Active,
S6282190,"3Comp Investments, LLC",Legal Name,Limited Liability Company,"707 SCHOONER BLVD, WILLIAMSBURG, VA, 23185 - 0000, USA",TODD   MAYER ,Inactive,
S4688893,"3J-T NEWPORT NEWS, LLC",Legal Name,Limited Liability Company,"131 Herman Melville Ave, Newport News, VA, 23606 - 0000, USA",LAWRENCE E   LUCK ,Active,
S3322213,"3J-T, LLC",Legal Name,Limited Liability Company,"6648 RICHMOND RD, WILLIAMSBURG, VA, 23188 - 0000, USA",LAWRENCE E   LUCK ,Active,
S5879574,"3rd Axis Aviation, LLC",Legal Name,Limited Liability Company,"151 Wellington Cir, Williamsburg, VA, 23185 - 0000, USA",BRADLEY   LINDOW ,Active,
04796249,"3RD TEE, INC.",Legal Name,Stock Corporation,"68 WINSTER FAX, WILLIAMSBURG, VA, 23185 - 0000, USA",DAVID J   LORINCZ ,Inactive,
S6998258,"3RD WAVE FILMS, LLC",Legal Name,Limited Liability Company,"480 N. ORANGE AVE, APT 437, ORLANDO, FL, 32801 - 0000, USA",JEREMY C   JOHNSON ,Inactive,
S6346201,"4 Daughters, LLC",Legal Name,Limited Liability Company,"3923 Erics Turn, Williamsburg, VA, 23185 - 0000, USA",JOHN   TUTTLE ,Inactive,
S1496613,"4 Our Kids, LLC",Legal Name,Limited Liability Company,"245 YORKSHIRE DR, WILLIAMSBURG, VA, 23185 - 0000, USA",CRYSTAL Y   WHITEHEAD ,Active,
S8123418,"4 Our Kids2, LLC",Legal Name,Limited Liability Company,"245 Yorkshire Drive, Williamsburg, VA, 23185 - 0000, USA",CRYSTAL YVETTE   WHITEHEAD ,Active,
S4678183,"4 Rivers Ranch, LLC",Legal Name,Limited Liability Company,"113 Tolers Road, Williamsburg, VA, 23185 - 0000, USA",Elijah  Toney ,Inactive,
11193048,"4010 Vandiver Court, L.L.C.",Legal Name,Limited Liability Company,"647 Greene Ave, Brooklyn, NY, 11221, USA",Helena S Mock ,Inactive,
