Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
11242570,142 York LLC,Legal Name,Limited Liability Company,"1406 Eleanor Ct, Norfolk, VA, 23508 - 1003, USA",Edward Andrew McCullough ,Inactive,
11649632,1431 Lafayette Blvd LLC,Legal Name,Limited Liability Company,"926 Magnolia Ave, Norfolk, VA, 23508 - 1409, USA",Kamala Hallgren Lannetti ,Active,
S8097828,1500 W 39th St LLC,Legal Name,Limited Liability Company,"1322 W 38th St, Norfolk, VA, 23508 - 0000, USA",JON   RIZZO ,Active,
S6172649,"1728 Indian River, LLC",Legal Name,Limited Liability Company,"528 W 35th St, Norfolk, VA, 23508 - 0000, USA",CHARLES   MAY ,Active,
11281456,"203 Westover Ave 102, LLC",Legal Name,Limited Liability Company,"203 Westover Ave Apt 102, Norfolk, VA, 23507 - 2313, USA",Luke M Kelly ,Inactive,
S1586165,"204-7, LLC",Legal Name,Limited Liability Company,"2108 Piper Way, Keswick, VA, 22947 - 0000, USA",MONICA G   LYNCH ,Active,
S7053970,"2512 Colonial Avenue, LLC",Legal Name,Limited Liability Company,"1500 Powhatan Ct, Norfolk, VA, 23508 - 1022, USA",Eric  Levin ,Active,
11047610,"3048 146, LLC",Legal Name,Limited Liability Company,"933 Broad St Ste 2321, Portsmouth, VA, 23707, USA","Igor A Vaserfirer, Esq ",Active,
11771350,"316 W 26th St, LLC",Legal Name,Limited Liability Company,"2729 Bowdens Ferry Rd, Norfolk, VA, 23508, USA",Omar  Boukhriss ,Active,
S3525179,"32 mm, LLC",Legal Name,Limited Liability Company,"1140 JAMESTOWN CRESCENT, NORFOLK, VA, 23508 - 0000, USA",WILLIAM T   BAKER ,Pending Inactive,
11673943,"331 Riverdale Rd., LLC",Legal Name,Limited Liability Company,"904 Hanover Ave, Norfolk, VA, 23508, USA",Scott A. Robertson ,Active,
S7964903,"3509 146, LLC",Legal Name,Limited Liability Company,"501 Viking Dr Unit 2297, Virginia Beach, VA, 23450 - 1213, USA",IGOR   VASERFIRER ,Active,
11347678,35th Main Street Association,Legal Name,Nonstock Corporation,"512 W 35th St, Norfolk, VA, 23508 - 3102, USA",Rodney   Jordan ,Pending Inactive,
04171674,"35th Street Merchants Association, Inc.",Legal Name,Nonstock Corporation,"436 W 35TH ST, NORFOLK, VA, 23508 - 0000, USA",CARLOS A.   HOWARD ,Inactive,
11249684,"3820 Parker, LLC",Legal Name,Limited Liability Company,"1055 Hanover Ave, Norfolk, VA, 23508 - 1258, USA",Nathaniel Grayson Kinnison ,Inactive,
S4947786,39th st llc,Legal Name,Limited Liability Company,"836 w 39th st, norfolk, VA, 23508 - 0000, USA",JEFF   MCAFEE ,Inactive,
S1886185,"39th Street Development, L.L.C.",Legal Name,Limited Liability Company,"1201 LARCHMONT CRESCENT, NORFOLK, VA, 23508 - 0000, USA",JOSEPH V  OBRIEN III ,Active,
11340869,"3DT Enterprises, LLC",Legal Name,Limited Liability Company,"1321 W 25th St, Norfolk, VA, 23508, USA",Tranicia  Reed ,Inactive,
S6201844,3DXtremes LLC,Legal Name,Limited Liability Company,"259 Granby St Ste 250, Norfolk, VA, 23510 - 1833, USA",Bryce Lynn Cahoon ,Inactive,
11782492,4 Queens LLC,Legal Name,Limited Liability Company,"1310 W 39th St, Norfolk, VA, 23508 - 2337, USA", Jacqueline  Valentine ,Active,
S8278535,404 Harrell LLC,Legal Name,Limited Liability Company,"1406 Eleanor Court, Norfolk, VA, 23508 - 0000, USA",EDWARD   MCCULLOUGH ,Inactive,
S5579570,426west23rd LLC,Legal Name,Limited Liability Company,"426 W 23rd St, Virginia, Norfolk, VA, 23517 - 1201, USA",ZACHERY   PEASE ,Active,
S2268268,"42nd & COLLEY, LLC",Legal Name,Limited Liability Company,"406 VENTOSA DR, CHESAPEAKE, VA, 23322 - 0000, USA",DANIEL D  DICKENSON III ,Inactive,
S7918693,432 Consulting LLC,Legal Name,Limited Liability Company,"1045 S Lexan Cres, Norfolk, VA, 23508 - 0000, USA",TRAVIS   DAVIDSON ,Inactive,
08211245,"44 Fitness, Inc.",Legal Name,Stock Corporation,"1626 MELROSE PKWY, NORFOLK, VA, 23508 - 0000, USA",RAYMOND   DUNN ,Active,
07694979,"44 Management, Inc.",Legal Name,Stock Corporation,"1626 MELROSE PKWY., NORFOLK, VA, 23508 - 0000, USA",RAYMOND AMBROSE  DUNN II ,Active,
11435550,"44 Services, Inc.",Legal Name,Stock Corporation,"1626 Melrose Pkwy, Norfolk, VA, 23508, USA",RAYMOND A.  DUNN II ,Active,
11250738,48 Express LLC,Legal Name,Limited Liability Company,"1423 W 37th St, Norfolk, VA, 23508 - 2227, USA",Trenton  Hawkins ,Inactive,
11612864,4Front Medical Transport LLC,Legal Name,Limited Liability Company,"322 W 31st St, Norfolk, VA, 23508, USA",Asia M. Warren ,Inactive,
S6793634,4i. LLC,Legal Name,Limited Liability Company,"1214 West 26th Street, Norfolk, VA, 23508 - 0000, USA",PATRICK   CROFFIE ,Inactive,
11359615,5 O'Clock Club LLC,Legal Name,Limited Liability Company,"845 44th St, Norfolk, VA, 23508 - 2005, USA",Savio  Nguyen ,Pending Inactive,
S4465599,"513w.35th, LLC",Legal Name,Limited Liability Company,"528 W 35TH ST, NORFOLK, VA, 23508 - 0000, USA",CHARLES  MAY JR. ,Pending Inactive,
S4465615,"515 w.35th, LLC",Legal Name,Limited Liability Company,"528 w.35th St., Norfolk, VA, 23508 - 0000, USA",CHARLES  MAY JR. ,Pending Inactive,
S4465565,"517w.35th, LLC",Legal Name,Limited Liability Company,"528w.35th St., Norfolk, VA, 23508 - 0000, USA",CHARLES  MAY JR. ,Pending Inactive,
11183544,"5235 CW, LLC",Legal Name,Limited Liability Company,"5232 Edgewater Dr, Norfolk, VA, 23508, USA",John Maddox Chandler ,Active,
11513066,530 Maryland LLC,Legal Name,Limited Liability Company,"530 Maryland Ave, Norfolk, VA, 23508, USA",Lauren  Galloway ,Active,
S7846241,"554 146, LLC",Legal Name,Limited Liability Company,"933 BROAD STREET, #2321, PORTSMOUTH, VA, 23707 - 0000, USA",IGOR   VASERFIRER ,Inactive,
S3299437,5th Season LLC,Legal Name,Limited Liability Company,"4796 WERMUTH WAY, WOODBRIDGE, VA, 22192 - 0000, USA",CHATON L   CANADIATE ,Inactive,
S8330294,5TH YEAR PROPERTIES LLC,Legal Name,Limited Liability Company,"1510 W 41ST ST, NORFOLK, VA, 23508 - 0000, USA",DJ   GRIER ,Inactive,
S5768959,"616 Graydon, LLC",Legal Name,Limited Liability Company,"1406 Eleanor Court, Norfolk, VA, 23508 - 0000, USA",MONICA G   LYNCH ,Inactive,
11554756,6164 Westwood Terrace LLC,Legal Name,Limited Liability Company,"6164 Westwood Ter, Norfolk, VA, 23508 - 1107, USA",Cameron  Gwaltney ,Active,
11217522,7 Cities Home Care LLC,Legal Name,Limited Liability Company,"5215 Colley Ave Ste 136, Norfolk, VA, 23508, USA",Shareka  Headley ,Inactive,
11027780,7 DAYS HOME ,Legal Name,Nonstock Corporation,"100 Bruton Ct Ste B, Chesapeake, VA, 23322 - 4385, USA",7 DAYS HOME ,Pending Inactive,
11346039,7 Welding and Fabrication LLC,Legal Name,Limited Liability Company,"1023 W 37th St, Norfolk, VA, 23508 - 2611, USA",Patrick  Johsonn ,Inactive,
S5161700,736 TIDEWATER LLC,Legal Name,Limited Liability Company,"736 TIDEWATER DR, NORFOLK, VA, 23504 - 0000, USA",WILLIAM W   NEXSEN ,Inactive,
11276929,757 HEAD SPACE,Legal Name,Nonstock Corporation,"1419 Monterey Ave, Norfolk, VA, 23508, USA",Bellamy  Eure ,Active,
S6614913,757 Home Staging LLC,Legal Name,Limited Liability Company,"1545 BOLLING AVE, NORFOLK, VA, 23508 - 0000, USA",KATRINA   CANTRELL ,Inactive,
11021652,757 Realty Group LLC,Legal Name,Limited Liability Company,"1545 Bolling Ave, Norfolk, VA, 23508 - 1359, USA",Katrina  Cantrell ,Active,
11766395,757 Rugby Academy,Legal Name,Nonstock Corporation,,Jason  Rogge ,Active,
11434997,757 VA Signs LLC ,Legal Name,Limited Liability Company,"1420 W 41st St Apt B, Norfolk, VA, 23508 - 2202, USA",Corey Robert Schock ,Active,
11109860,777 TRUCKING LLC,Legal Name,Limited Liability Company,"412 W 31st St, Norfolk, VA, 23508 - 3408, USA",Azhar  Abdul-Malik ,Inactive,
S2354415,"7CityJobs.com, LLC",Legal Name,Limited Liability Company,"1046 MANCHESTER AVE, NORFOLK, VA, 23508 - 0000, USA",MICHAEL   CROCKETT ,Inactive,
11202551,"8 Hands On Deck Cleaning, LLC",Legal Name,Limited Liability Company,"1407 w 27th St, Norfolk, VA, 23508, USA",Jennifer R Webb ,Inactive,
11201087,8 Hands on Deck LLC,Legal Name,Limited Liability Company,"1407 W 27th St, Norfolk, VA, 23508 - 2329, USA",Jennifer  Webb ,Inactive,
11202550,"8 Lives Design, LLC",Legal Name,Limited Liability Company,"1407 w 27th St, Norfolk, VA, 23508, USA",Jennifer R Webb ,Inactive,
S3921881,"819 Live Entertainment, LLC",Legal Name,Limited Liability Company,"819 W 41st St, Norfolk, VA, 23508 - 0000, USA",GABRIEL KELLY   PHELPS ,Inactive,
11359184,869 Kensington Condo Association,Legal Name,Nonstock Corporation,"869 W 35th St Apt 2, Norfolk, VA, 23508 - 3034, USA","S bar S Enterprises, LLC",Pending Inactive,
11771351,"943 E Ocean View Ave, LLC",Legal Name,Limited Liability Company,"2729 Bowdens Ferry Rd, Norfolk, VA, 23508, USA",Omar  Boukhriss ,Active,
S2903377,9Nation Republic LLC,Legal Name,Limited Liability Company,"3910 BOWDEN'S FERRY RD APT 5, PO BOX 6172, NORFOLK, VA, 23508 - 0000, USA",MICHAEL   JONES ,Inactive,
07372659,A & T INCORPORATED,Legal Name,Stock Corporation,,ALYSSA   CARTER ,Inactive,
04316600,A B C Trucking INC.,Legal Name,Stock Corporation,"837 W. 37TH ST, NORFOLK, VA, 23508 - 0000, USA",ALBERT B   CALVERT ,Inactive,
S8161327,A Crafty Hand Designs LLC,Legal Name,Limited Liability Company,"618 W 34th Street, Norfolk, VA, 23508 - 0000, USA",GLENDORA CAESARIA   WILLIAMS ,Inactive,
11210486,A Hippies Daughter LLC,Legal Name,Limited Liability Company,"4304 Mayflower Rd, Norfolk, VA, 23508, USA",Kelli   Thomas  ,Inactive,
08268708,A PARKER ENTERPRISES INC.,Legal Name,Stock Corporation,"860 WEST 34TH STREET, NORFOLK, VA, 23508 - 0000, USA",ANTHONY GUY   PARKER ,Inactive,
S2834218,A Parker Enterprises L.L.C.,Legal Name,Limited Liability Company,"860 WEST 34TH ST, PO BOX 6288, NORFOLK, VA, 23508 - 0000, USA",ANTHONY GUY   PARKER ,Inactive,
S7426093,"A Parker Enterprises, LLC",Legal Name,Limited Liability Company,"860 W 34TH ST, NORFOLK, VA, 23508 - 0000, USA",ANTHONY   PARKER ,Active,
11730647,A Reliable Brand Construction LLC,Legal Name,Limited Liability Company,"723 New Jersey Ave, Norfolk, VA, 23508, USA",Aaron Charles Brandenburg ,Active,
11086957,A SoreThumb Opus LLC,Legal Name,Limited Liability Company,"323 W 28th St Apt 1, Norfolk, VA, 23508 - 3337, USA",Kevin Montgomery  Brooks II,Inactive,
11189306,"A to Z Bookkeeping, LLC",Legal Name,Limited Liability Company,"2080 E Ocean View Ave Apt 1B, Norfolk, VA, 23503 - 2511, USA",Anastasia  Zubar ,Pending Inactive,
S6708434,A Touch of Faith Senior Care LLC,Legal Name,Limited Liability Company,"5215 Colley Avenue, Suite 129, Norfolk, VA, 23508 - 0000, USA",LALITA JANE   OWENS ,Inactive,
11603191,"A&J Rolling Kitchen, LLC",Legal Name,Limited Liability Company,"1439 Cedar Ln, Norfolk, VA, 23508 - 1715, USA",Jason Hoi Lee ,Active,
11460008,A'a Wheelchair Shuttle LLC,Legal Name,Limited Liability Company,"816 W 31st St, Norfolk, VA, 23508 - 3003, USA",   ,Inactive,
S2319756,"A'Gangee, LLC",Legal Name,Limited Liability Company,"7511 CORTLANDT PL, NORFOLK, VA, 23505 - 0000, USA",COLIN   MCKINNON ,Active,
11327174,A-FINE MOBILE DETAILING LLC,Legal Name,Limited Liability Company,"1246 W 39th St apt 1, Norfolk, VA, 23508, USA",Henry Lee Crane Jr.,Inactive,
S3241488,"A. Meredith, LLC",Legal Name,Limited Liability Company,"900 JAMESTOWN CRESCENT, NORFOLK, VA, 23508 - 0000, USA",ANDREW   MEREDITH ,Inactive,
02869436,"A. P. GRICE AND SON, INC.",Legal Name,Stock Corporation,"1633 MELROSE PKWY, NORFOLK, VA, 23508 - 1730, USA",ALEXANDER P  GRICE IV ,Inactive,
11190460,A. Pensyl LLC,Legal Name,Limited Liability Company,"3201 Landover St Apt 1501, Alexandria, VA, 22305 - 1933, USA",Ashley  Pensyl ,Pending Inactive,
11551549,A.N.A. ASIAN BISTRO LLC,Legal Name,Limited Liability Company,"739 W 38th St, Norfolk, VA, 23508 - 3151, USA",NATALIA  BALECA REED ,Inactive,
11240348,"A.R.A. Structural Advisors, LLC",Legal Name,Limited Liability Company,"571 McKinley St, Passaic, NJ, 07055 - 2219, USA",Dayron  Alvarez ,Inactive,
11073789,A1 Angles Film & Production LLC,Legal Name,Limited Liability Company,"637 W 36th St, Norfolk, VA, 23508 - 3109, USA",David  Hutcherson ,Inactive,
08178311,A1 Enterprise inc.,Legal Name,Stock Corporation,"220 W 30TH ST, NORFOLK, VA, 23504 - 0000, USA",SIOBHAN J   MADDOX ,Inactive,
11740833,A1 Welding Academy LLC,Legal Name,Limited Liability Company,"1005 W 35th st, Norfolk, VA, 23508, USA",Sherrod  Thomas ,Active,
11394801,"Aalan Group, LLC",Legal Name,Limited Liability Company,"833 W 41st St, Norfolk, VA, 23508 - 2517, USA",SHANNEL  LUNDY ,Inactive,
11730299,Aaron Brandenburg Construction LLC,Legal Name,Limited Liability Company,"723 New Jersey Ave, Norfolk, VA, 23508, USA",Aaron Charles Brandenburg ,Active,
11235046,Abbey Chaplain Studio LLC,Legal Name,Limited Liability Company,"950 Jamestown Cres, Norfolk, VA, 23508 - 1433, USA",ABBEY  CHAPLAIN ,Active,
S6614491,abby calisch llc,Legal Name,Limited Liability Company,"1025 Bolling Ave, Norfolk, VA, 23508 - 1603, USA",ABBY CORINNE   CALISCH ,Inactive,
S3728252,ABC Angel House LLC,Legal Name,Limited Liability Company,"3301 Colley Ave., Norfolk, VA, 23508 - 0000, USA",JODI COX   NELSON ,Inactive,
05942925,ABC Community Empowerment CDC,Legal Name,Nonstock Corporation,"3301 COLLEY AVENUE, NORFOLK, VA, 23508 - 0000, USA",SHERIDAN D   NELSON ,Inactive,
S3682186,"ABC EMPOWERMENT HOLDINGS, LLC",Legal Name,Limited Liability Company,"2816 COLLEY AVE, NORFOLK, VA, 23508 - 0000, USA",SHERIDAN   NELSON ,Inactive,
S3728310,ABC Empowerment Transportation LLC,Legal Name,Limited Liability Company,"3301 Colley Ave., Norfolk, VA, 23508 - 0000, USA",JODI   NELSON ,Inactive,
08043952,ABC Ministries,Legal Name,Nonstock Corporation,"2816 COLLEY AVE, NORFOLK, VA, 23508 - 0000, USA",SHERIDAN DWAYNE   NELSON ,Active,
11685794,Accessory Lounge LLC,Legal Name,Limited Liability Company,"1511 W 41st St Apt A, Norfolk, VA, 23508 - 2203, USA",Ashley  Pleasant ,Active,
11372387,Accomodax LLC,Legal Name,Limited Liability Company,"1630 49th St, Norfolk, VA, 23508 - 1847, USA",Hannah Joy Fagan ,Inactive,
11488030,Acop LLC,Legal Name,Limited Liability Company,"5705 Lynnhaven Pkwy # 1363 Ste 104, Virginia Beach, VA, 23464 - 9157, USA",Silver Chukwuemeka Ibenye ,Active,
11297246,"ACT 3, LLC",Legal Name,Limited Liability Company,"3313 S Military Hwy, Chesapeake, VA, 23323, USA",Igor A Vaserfirer ,Inactive,
S7795810,Action Speaks LLC,Legal Name,Limited Liability Company,"528 WEST 35TH STREET, NORFOLK, VA, 23508 - 0000, USA",LILLIE DIANA   HAYES ,Active,
08353229,"AdaManMantium, Inc.",Legal Name,Nonstock Corporation,"620 W 28th St, Norfolk, VA, 23508 - 3308, USA",MATTHEW  PRIBLE ,Active,
06834790,"Adams Automotive Center, Inc.",Legal Name,Stock Corporation,"844 W 39TH ST., NORFOLK, VA, 23508 - 2618, USA",WILLIAM J  ADAMS JR ,Inactive,
11705537,Adcon AI LLC,Legal Name,Limited Liability Company,"11747 Jefferson Ave Ste 5A, Newport News, VA, 23606 - 1999, USA",Igor A Vaserfirer ,Active,
S7920947,"Adcon R&D, LLC",Legal Name,Limited Liability Company,"11747 Jefferson Avenue, Suite 5A, Newport News, VA, 23606 - 0000, USA",IGOR A   VASERFIRER ,Active,
S7920913,"Adcon, LLC",Legal Name,Limited Liability Company,"11747 Jefferson Avenue, Suite 5A, Newport News, VA, 23606 - 0000, USA",IGOR   VASERFIRER ,Active,
11481204,"Adelaide Rooney Enterprises, LLC",Legal Name,Limited Liability Company,"441 Connecticut Ave, Norfolk, VA, 23508 - 2703, USA",Adelaide  Rooney ,Inactive,
S6364196,"Adelia Gregoire, Psy.D., LLC",Legal Name,Limited Liability Company,"919 W. 21st Street, Suite B, Norfolk, VA, 23510 - 0000, USA",ADELIA FURR   GREGOIRE ,Active,
S3748862,"ADJO, LLC",Legal Name,Limited Liability Company,"1214 SOUTH FAIRWATER DR, NORFOLK, VA, 23508 - 0000, USA",JOANNA S   FELTS ,Active,
11162805,AdmireHer LLC,Legal Name,Limited Liability Company,"410 Delaware Ave Apt 101, Norfolk, VA, 23508 - 2800, USA",Beauty and a Beast LLC,Inactive,
11434426,"Aebel Construction, LLC",Legal Name,Limited Liability Company,"3933 Tartan Trl, Virginia Beach, VA, 23456 - 1510, USA",Igor A Vaserfirer ,Inactive,
11501663,AFA Residences LLC,Legal Name,Limited Liability Company,"4610 Colonial Ave, Norfolk, VA, 23508, USA",Aamir  Malik ,Active,
S6766440,Afficial Solutions LLC,Legal Name,Limited Liability Company,"827 W. 34TH ST, Norfolk, VA, 23508 - 0000, USA",KENNETH LAMONT   PITTMAN ,Inactive,
S6601639,After The Millions LLC,Legal Name,Limited Liability Company,"808 W 44th St, Unit 204, Norfolk, VA, 23508 - 2083, USA",JOSHUA JEREMIAH   MASON ,Inactive,
11326028,"Afterglo, LLC",Legal Name,Limited Liability Company,"4310 Colonial Ave, Norfolk, VA, 23508, USA",Josh C Evans ,Active,
S4228518,AG Medical Transport LLC,Legal Name,Limited Liability Company,"1440 W. 39th St. Unit A, Norfolk, VA, 23508 - 0000, USA",SAMUEL   GUTEMA ,Inactive,
11140348,Agado Enterprises LLC,Legal Name,Limited Liability Company,"4601 Mayflower Rd Apt 9D, Norfolk, VA, 23508, USA",Justin Ross Agado ,Inactive,
11553020,Against The Grain Woodcraft LLC,Legal Name,Limited Liability Company,"714 Delaware Ave, Norfolk, VA, 23508, USA",Garrett Wayne Clark ,Active,
11544115,AgapeOpulence LLC,Legal Name,Limited Liability Company,"850 W 36th St Apt C, Norfolk, VA, 23508, USA",Melanie B Swinton ,Active,
11536416,Agave Beauty LLC,Legal Name,Limited Liability Company,"856 W 41st St Apt A, Norfolk, VA, 23508 - 2518, USA",Allanah  Evans ,Inactive,
07794407,AGBALA PROGRESSIVE ASSOCIATION (APA) INC.,Legal Name,Nonstock Corporation,"306 W 30TH ST APT 3, NORFOLK, VA, 23508 - 0000, USA",DAMIAN   ETONYEAKU ,Inactive,
11274843,AggieTiger,Legal Name,Business Trust,"509 New York Ave, Norfolk, VA, 23508 - 2724, USA",Letticia  Brown ,Inactive,
S8011316,"AGNB Freight Systems, LLC",Legal Name,Limited Liability Company,"1001 Bolling Ave, Apt 114, Norfolk, VA, 23508 - 0000, USA",ROY   REYNOLDS ,Inactive,
S7857818,"AGY Logistics, LLC",Legal Name,Limited Liability Company,"834 44th Street, Apt 206, Norfolk, VA, 23508 - 0000, USA",GREGGRIE   O'GARRO ,Inactive,
11496609,AHBIII Enterprises LLC,Legal Name,Limited Liability Company,"408 W 29th St, Norfolk, VA, 23508 - 3312, USA",Allen  Brown ,Inactive,
S1212903,"AHMS, LLC",Legal Name,Limited Liability Company,"1012 W 36TH ST APT 3, NORFOLK, VA, 23508 - 0000, USA",SHAHID   AHMED ,Inactive,
11109803,"AIM HOMECARE, LLC",Legal Name,Limited Liability Company,"5215 Colley Ave Ste 114, Norfolk, VA, 23508 - 2166, USA",Arica  White ,Active,
07655749,AJEX Shipping,Legal Name,Nonstock Corporation,,MICHAEL L   HOCKADAY ,Inactive,
S3086016,"AJW, LLC",Legal Name,Limited Liability Company,"16023 COATESVILLE RD, BEAVERDAM, VA, 23015 - 0000, USA",DANIEL D  DICKENSON III ,Inactive,
07049935,AL NAZEF ENTERPRISE INC.,Legal Name,Stock Corporation,"1258 W 40TH ST, NORFOLK, VA, 23508 - 0000, USA",ESSAM F   NAZIF ,Inactive,
S5023058,"Alamo Future Holdings, LLC",Legal Name,Limited Liability Company,"635 Connecticut Ave, Norfolk, VA, 23508 - 0000, USA",KEITH BRADLEY   ROWE ,Inactive,
11427581,Alchemy Vending LLC,Legal Name,Limited Liability Company,"2811 Colonial Ave Apt B3, Norfolk, VA, 23508 - 3342, USA",Kendrix  Brown ,Inactive,
S7361696,ALEXANDRA MCCOY LLC,Legal Name,Limited Liability Company,"6116 POWHATAN AVE, NORFOLK, VA, 23508 - 0000, USA",ALEXANDRA BROWN   MCCOY ,Inactive,
S1107608,"Alexandra, L.C.",Legal Name,Limited Liability Company,"2001 HUNTER'S TRAIL, NORFOLK, VA, 23518 - 0000, USA",ROBERT C   STACKHOUSE ,Inactive,
S7861158,Alexis Dattoli Business Interior Design PLLC,Legal Name,Limited Liability Company,"1416 BUCKINGHAM AVENUE, NORFOLK, VA, 23508 - 0000, USA",ALEXIS   DATTOLI ,Active,
08184772,All Care Training & Services Inc.,Legal Name,Stock Corporation,"528 W 35th St, Norfolk, VA, 23508 - 3102, USA",LILLIE D   HAYES ,Inactive,
S2116715,All In One Convenience Store LLC,Legal Name,Limited Liability Company,"619 W 35TH ST, NORFOLK, VA, 23508 - 0000, USA",ERNEST W   CARTER ,Inactive,
S3728260,All Joy Handyman Services LLC,Legal Name,Limited Liability Company,"1018 Mission Street, Norfolk, VA, 23508 - 0000, USA",ALLEN   JOYNER ,Inactive,
01263433,ALLAN CLARK AND COMPANY,Legal Name,Stock Corporation,"112 AFTON AVE, NORFOLK, VA, 23505 - 0000, USA",J. Derek  Turrietta ,Inactive,
04349262,"Alliance for Preserving History of World War II in Asia, Inc.",Legal Name,Nonstock Corporation,"5922 POWHATAN AVE, NORFOLK, VA, 23508 - 1050, USA",PING   TCHENG ,Inactive,
01408418,"ALLO, INC.",Legal Name,Stock Corporation,"875 W 44TH ST, PO BOX 6341, NORFOLK, VA, 23508 - 0000, USA","SAMUEL A.  FACE, JR. ",Inactive,
S4469765,Aloha Munchies LLC,Legal Name,Limited Liability Company,"1248 W. 42nd St., Norfolk, VA, 23508 - 0000, USA",KEVIN S   MIYASHIRO ,Inactive,
07778657,Alonso Inc.,Legal Name,Stock Corporation,,RIGOBERTO   RAMIREZ ,Inactive,
S3967819,Alpha Academy LLC,Legal Name,Limited Liability Company,"538 W 35TH ST, NORFOLK, VA, 23508 - 0000, USA",NERISSA   MUIR ,Inactive,
11748975,Alpha Phi Omega - Alpha Beta Omega Chapter,Legal Name,Nonstock Corporation,"1071 Webb University Center, Norfolk, VA, 23529, USA",Megan  Miranda ,Active,
S4666618,ALPRC Mangt. LLC,Legal Name,Limited Liability Company,"837 W 44TH STREET, NORFOLK, VA, 23508 - 0000, USA",LEON W   PLATT ,Active,
11040081,Amanda Hill RDH LLC,Legal Name,Limited Liability Company,"5401 Argall Ave, Norfolk, VA, 23508, USA",Amanda  Hill ,Active,
S4370161,"Amanda Upton, LLC",Legal Name,Limited Liability Company,"1337 West 40th St, Norfolk, VA, 23508 - 0000, USA",AMANDA ROBESON   UPTON ,Inactive,
S7497334,"Amanda Upton, LLC",Legal Name,Limited Liability Company,"529 Delaware Avenue, Norfolk, VA, 23508 - 0000, USA",AMANDA   UPTON ,Inactive,
11635232,"Amani Makes, LLC",Legal Name,Limited Liability Company,"424 New York Ave, Norfolk, VA, 23508, USA",Amani  Elamin ,Pending Inactive,
11613614,Amari Lavish LLC ,Legal Name,Limited Liability Company,"617 W 28th St Apt 3, Norfolk, VA, 23508 - 3330, USA",Shamira  Green ,Inactive,
11523933,AMAZING A's LLC CLEANING SERVICES ,Legal Name,Limited Liability Company,"5215 Colley Ave Ste 114, Norfolk, VA, 23508 - 2166, USA",Arica  White ,Inactive,
07667520,"American At Home Solutions, Inc.",Legal Name,Stock Corporation,"3900 GOSNOLD AVENUE, NORFOLK, VA, 23508 - 0000, USA",DONYATA S.   WASHINGTON ,Inactive,
S5490000,"American Cigar Factory Developer, LLC",Legal Name,Limited Liability Company,"150 W. MAIN STREET, SUITE 1500, NORFOLK, VA, 23510 - 0000, USA",EDWARD A   MCCULLOUGH ,Inactive,
S5520640,"American Cigar Factory Management, LLC",Legal Name,Limited Liability Company,"150 W. MAIN STREET, SUITE 1500, NORFOLK, VA, 23510 - 0000, USA",EDWARD A   MCCULLOUGH ,Inactive,
S5489911,"American Cigar Factory Manager, LLC",Legal Name,Limited Liability Company,"150 W. MAIN STREET, SUITE 1500, NORFOLK, VA, 23510 - 0000, USA",EDWARD A   MCCULLOUGH ,Inactive,
S5489994,"American Cigar Factory Tenant, LLC",Legal Name,Limited Liability Company,"150 W. MAIN STREET, SUITE 1500, NORFOLK, VA, 23510 - 0000, USA",EDWARD A   MCCULLOUGH ,Inactive,
